ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl,weekday_ksc_ent_in,weekday_ksc_ent_out,weekend_ksc_ent_in,weekend_ksc_ent_out
112,YISHUN SOUTH,5883.0,10121.0,4600,8928,0,1,0,1,0.8875296486436338,0.8102478358502946,0.8667325578340525,0.7536517934153157
113,MOUNTBATTEN,6046.0,6746.0,5158,5957,0,0,0,0,0.43060361040490874,0.4669345624232794,0.4426716121095345,0.5380386220000286
114,TAGORE,6070.0,4855.0,4827,3890,0,0,0,0,0.9183374506690222,0.7445082878604863,0.8311797377693929,0.7298469774232034
115,HONG KAH NORTH,6097.0,6779.0,5343,5625,0,0,0,0,0.8142987150229041,0.7427513080439392,0.7659033209168383,0.7210100773177507
116,CENTRAL WATER CATCHMENT,6126.0,5993.0,5654,5813,0,0,0,0,0.9471340676743392,0.899063206202193,0.8974515697238318,0.8456379681080571
117,BRICKWORKS,6155.0,6502.0,5344,5625,0,0,0,0,0.6558844210849109,0.8650214052999078,0.62605090622039,0.8692552000144471
118,BOAT QUAY,6157.0,3512.0,5081,2899,0,0,0,0,0.6779384362240438,0.9251389293364233,0.6169115950187685,0.9298153154298998
119,YISHUN EAST,6195.0,7146.0,4600,5758,0,0,0,0,0.8721829385693399,0.5297430344127723,0.8572451075399671,0.5331055616103327
120,PASIR PANJANG 2,6230.0,7072.0,3750,4428,0,0,0,0,0.55853635757946,0.9725397838120822,0.5029282492892518,0.9709380018036936
121,BUKIT BATOK EAST,6320.0,7548.0,5730,6511,0,1,0,1,0.795307287786389,0.7963712497329891,0.738481278785016,0.8243264820613144
122,SWISS CLUB,6455.0,6506.0,5094,5645,0,0,0,0,0.6573068662514738,0.9329489958687038,0.7991581262132265,0.8898838687538846
123,CLIFFORD PIER,6475.0,6503.0,3835,4151,0,0,0,0,0.6597868166128806,0.7375525353448343,0.6805972443420222,0.7515263557279787
124,MIDVIEW,6475.0,6982.0,4935,5401,0,0,0,0,0.44060497345873456,0.4640550597427591,0.3938344716118343,0.407156678054312
125,BUKIT HO SWEE,6496.0,7072.0,5667,6080,0,0,0,0,0.9564947816653349,0.778822412961055,0.9599453181520253,0.75994461266895
126,BRADDELL,6538.0,7072.0,5182,5957,0,0,0,0,0.9910245204796119,0.5944289003016094,0.9081819583541074,0.5608093437256634
127,TOH TUCK,6662.0,6980.0,5142,5416,0,0,0,0,0.5870662522206374,0.44065459334143714,0.22262514787457197,0.38884576681766936
