ind,node,weekday_super_spreader,weekday_super_susceptible,weekend_super_spreader,weekend_super_susceptible
288,ADMIRALTY,3,3,3,3
289,SEMBAWANG SPRINGS,3,3,3,3
290,SEMBAWANG EAST,3,3,3,3
291,SENOKO NORTH,3,3,3,3
292,MANDAI EAST,3,3,3,3
293,SEMBAWANG STRAITS,3,3,3,3
294,THE WHARVES,3,3,3,3
295,TUAS BAY,3,3,3,3
296,TUAS NORTH,3,3,3,3
297,TUAS PROMENADE,3,3,3,3
298,TUAS VIEW,3,3,3,3
299,TUAS VIEW EXTENSION,3,3,3,3
300,TENGEH,3,3,3,3
301,DEFU INDUSTRIAL PARK,3,3,3,3
302,AIRPORT ROAD,3,3,3,3
303,EAST COAST,3,3,3,3
304,MARINA EAST (MP),3,3,3,3
