ind,node,weekday_spreader,weekday_susceptible,weekend_spreader,weekend_susceptible
63,TRAFALGAR,0.326163863621975,0.332149776852928,0.29621057615786,0.293415313268064
64,COMPASSVALE,0.267664359361166,0.218353489504562,0.260042910481842,0.212978841629951
65,MARYMOUNT,0.3318215024479,0.322781414022207,0.337875948827176,0.309857317833341
66,WATERWAY EAST,0.164042358982411,0.165602113461162,0.153875850839726,0.144625873055109
67,UPPER THOMSON,0.470337287716663,0.460469565717496,0.465471591437774,0.450200196803646
68,FERNVALE,0.35423826097192,0.389843456428436,0.329632937539819,0.372479985134402
69,KANGKAR,0.311188107375068,0.196009709257967,0.300920926768119,0.191952378898111
70,HOUGANG EAST,0.1720238600227,0.156807372923528,0.163172444608228,0.153791171624531
71,PUNGGOL TOWN CENTRE,0.154687940387163,0.16388814397701,0.175799512219243,0.175406133923638
72,SELETAR,0.227737884453507,0.252375549611654,0.223378036659245,0.250066490248651
73,NORTHSHORE,0.044168582338405,0.061521726919844,0.042169931327018,0.059535189123663
74,SELETAR AEROSPACE PARK,0.144948563323556,0.160706882816603,0.12617191248589,0.137345436612332
75,PAYA LEBAR WEST,0.04159687009833,0.061512908310891,0.036921589729022,0.056274253481582
76,LORONG HALUS,0.047958322577173,0.025629887644039,0.00933644286186,0.033107342455012
77,TAMPINES EAST,0.592663855802437,0.648678795691899,0.611202218889693,0.668869569380393
78,BEDOK NORTH,0.430041034390074,0.402560317343662,0.474391497200644,0.439215848669048
79,PASIR RIS CENTRAL,0.468397358867067,0.416597297869148,0.477641910240495,0.422383833224233
80,TAMPINES WEST,0.337340917202177,0.293410170110821,0.335528965383658,0.299086574997072
81,SIMEI,0.343801338384324,0.302651013169615,0.34099715643386,0.309517514198268
82,KAKI BUKIT,0.3559039550706,0.44252373161943,0.344209043681283,0.396256178277627
83,PASIR RIS DRIVE,0.223158681887621,0.247550966104611,0.2368692572263,0.281386189842596
84,BEDOK SOUTH,0.328020860855388,0.309491246546964,0.319564828698367,0.331197397207647
85,FRANKEL,0.323059566541754,0.339458558767412,0.299303890670899,0.321311731865847
86,KEMBANGAN,0.198081814173444,0.353508621848825,0.201491363325558,0.32870626365612
87,PASIR RIS WEST,0.267632528886762,0.222852321189007,0.27383325746732,0.231781053139943
88,BEDOK RESERVOIR,0.188328751741848,0.220483054780715,0.212314622321404,0.243700188902439
89,CHANGI AIRPORT,0.365950747475653,0.451091151828821,0.394927052963777,0.491011088211938
90,XILIN,0.180294538306615,0.314518333398373,0.177166069563874,0.310866082369051
91,PASIR RIS PARK,0.07656517281153,0.07458262593843,0.130998867898469,0.078899911655675
92,FLORA DRIVE,0.102181990658373,0.123828257494707,0.126998080788746,0.160132571233385
93,TAMPINES NORTH,0.082547385960678,0.197415854066275,0.112162965632862,0.192389846816054
94,LOYANG WEST,0.058756918314315,0.147939066855763,0.086551983796738,0.152253878473134
95,CHANGI WEST,0.118169779294541,0.120153957920542,0.156735016169503,0.132908844818081
96,BAYSHORE,0.186853083045669,0.033228099498041,0.17333100466225,0.055937446362384
97,PAYA LEBAR NORTH,0.190920820334833,0.116931083182552,0.185025822263548,0.149452264877662
98,SIGLAP,0.173186401888045,0.094767433876623,0.180842405534115,0.125800950266767
99,LOYANG EAST,0.108297373823401,0.091401026709163,0.113855313443351,0.111934831717818
100,PASIR RIS WAFER FAB PARK,0.010464537405212,0.18277756978701,0.013568669395787,0.179365762172966
101,CHANGI POINT,0.14399091796802,0.162857471592087,0.211190638266033,0.225008616990742
102,PAYA LEBAR EAST,0.12081863619365,0.006644130756539,0.106870868649761,0.064773916865215
103,PLAB,0.153780899969081,0.073665500264429,0.13099959928887,0.056948803298832
104,JURONG WEST CENTRAL,0.735269691977544,0.748054323657697,0.697834307448473,0.716819061013091
105,JURONG GATEWAY,0.726980343896815,0.694340506941953,0.66549502486486,0.652685840356066
106,YUNNAN,0.205055514846771,0.153136577043529,0.185781461172626,0.146100196627088
107,HONG KAH,0.286685196751384,0.280605715531548,0.288106316938618,0.276945631903614
108,TAMAN JURONG,0.449937089069442,0.420076207083996,0.401612550035513,0.389264303101551
109,BOON LAY PLACE,0.188237542156195,0.214541137927838,0.189442468596694,0.21363309539655
110,YUHUA EAST,0.285659873084361,0.311380024073735,0.291411138100711,0.293819744574594
111,TOH GUAN,0.304333406492084,0.29516883149707,0.316486358393931,0.31311942931953
112,YUHUA WEST,0.302513985827149,0.244960470798119,0.311365486103096,0.219905479161984
113,JOO KOON,0.452944502597774,0.435388248655175,0.43491151662928,0.438006338092572
114,TEBAN GARDENS,0.260325127243696,0.28744287221043,0.261974187879952,0.293585971494315
115,TOH TUCK,0.219653164157508,0.254693824677448,0.200366672153873,0.170831904018122
116,LAKESIDE,0.273794758578772,0.339032140177628,0.274384722389519,0.321945984879848
117,KIAN TECK,0.083969433932627,0.089501961267415,0.085668210905672,0.085656063968615
118,WESTERN WATER CATCHMENT,0.216881897572165,0.210488154135441,0.226070565901623,0.225453104848196
119,CHIN BEE,0,0.124917132869175,0,0.118508563499954
120,WENYA,0.075000369712809,0.187358653651118,0.064573623508251,0.165128108292561
121,GUL CIRCLE,0.127756802970637,0.148214815473067,0.098844730571466,0.148902030028501
122,TUKANG,0.026947620626194,0.135921891774531,0.024874297810102,0.11833715199494
123,INTERNATIONAL BUSINESS PARK,0.189994295227642,0.139924880295559,0.149191104524715,0.095724220513343
124,LIU FANG,0,0,0,0
125,BENOI SECTOR,0,0,0,0
126,PENJURU CRESCENT,0.136897244681294,0.135381908955681,0.100540945563991,0.129192424864242
127,JURONG RIVER,0,0.122277753613397,0,0.143719880717707
128,TENGAH,0.124697454374223,0.144983905432381,0.125523938429276,0.15438128705272
129,JURONG PORT,0,0,0,0
130,GUL BASIN,0.036238467291939,0,0.052158330638187,0
131,SAMULUN,0,0,0,0
132,SHIPYARD,0,0,0,0
